2026-05-10 20:10:06,852 [INFO] Loading race data...
2026-05-10 20:11:12,218 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 20:11:12,257 [INFO] Loading horse/jockey history for rolling features...
2026-05-10 20:11:45,522 [INFO] Pre-indexing history for fast lookups...
2026-05-10 20:11:46,896 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-10 20:11:46,896 [INFO] Building features for 196764 entries...
2026-05-10 20:12:24,801 [INFO] Pre-building point-in-time speed baseline index...
2026-05-10 20:12:25,362 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-10 20:12:30,913 [INFO]   [1,000/196,764] 1% | 23 entries/s | ETA 8617s
2026-05-10 20:13:04,699 [INFO]   [2,000/196,764] 1% | 26 entries/s | ETA 7577s
2026-05-10 20:13:37,405 [INFO]   [3,000/196,764] 2% | 27 entries/s | ETA 7138s
2026-05-10 20:14:12,223 [INFO]   [4,000/196,764] 2% | 28 entries/s | ETA 7003s
2026-05-10 20:14:46,546 [INFO]   [5,000/196,764] 3% | 28 entries/s | ETA 6890s
2026-05-10 20:15:21,948 [INFO]   [6,000/196,764] 3% | 28 entries/s | ETA 6837s
2026-05-10 20:15:59,570 [INFO]   [7,000/196,764] 4% | 28 entries/s | ETA 6850s
2026-05-10 20:16:35,118 [INFO]   [8,000/196,764] 4% | 28 entries/s | ETA 6801s
2026-05-10 20:17:11,988 [INFO]   [9,000/196,764] 5% | 28 entries/s | ETA 6782s
2026-05-10 20:17:48,767 [INFO]   [10,000/196,764] 5% | 28 entries/s | ETA 6758s
2026-05-10 20:18:24,961 [INFO]   [11,000/196,764] 6% | 28 entries/s | ETA 6722s
2026-05-10 20:19:03,428 [INFO]   [12,000/196,764] 6% | 27 entries/s | ETA 6721s
2026-05-10 20:19:37,603 [INFO]   [13,000/196,764] 7% | 28 entries/s | ETA 6654s
2026-05-10 20:20:12,425 [INFO]   [14,000/196,764] 7% | 28 entries/s | ETA 6599s
2026-05-10 20:20:51,615 [INFO]   [15,000/196,764] 8% | 28 entries/s | ETA 6601s
2026-05-10 20:21:28,558 [INFO]   [16,000/196,764] 8% | 28 entries/s | ETA 6571s
2026-05-10 20:22:06,737 [INFO]   [17,000/196,764] 9% | 27 entries/s | ETA 6554s
2026-05-10 20:22:44,695 [INFO]   [18,000/196,764] 9% | 27 entries/s | ETA 6533s
2026-05-10 20:23:20,979 [INFO]   [19,000/196,764] 10% | 27 entries/s | ETA 6494s
2026-05-10 20:23:59,466 [INFO]   [20,000/196,764] 10% | 27 entries/s | ETA 6475s
2026-05-10 20:24:36,871 [INFO]   [21,000/196,764] 11% | 27 entries/s | ETA 6444s
2026-05-10 20:25:13,341 [INFO]   [22,000/196,764] 11% | 27 entries/s | ETA 6406s
2026-05-10 20:25:52,045 [INFO]   [23,000/196,764] 12% | 27 entries/s | ETA 6385s
2026-05-10 20:26:29,639 [INFO]   [24,000/196,764] 12% | 27 entries/s | ETA 6354s
2026-05-10 20:27:08,945 [INFO]   [25,000/196,764] 13% | 27 entries/s | ETA 6335s
2026-05-10 20:27:45,641 [INFO]   [26,000/196,764] 13% | 27 entries/s | ETA 6297s
2026-05-10 20:28:22,412 [INFO]   [27,000/196,764] 14% | 27 entries/s | ETA 6259s
2026-05-10 20:29:01,468 [INFO]   [28,000/196,764] 14% | 27 entries/s | ETA 6236s
2026-05-10 20:29:38,488 [INFO]   [29,000/196,764] 15% | 27 entries/s | ETA 6199s
2026-05-10 20:30:16,538 [INFO]   [30,000/196,764] 15% | 27 entries/s | ETA 6168s
2026-05-10 20:30:53,365 [INFO]   [31,000/196,764] 16% | 27 entries/s | ETA 6130s
2026-05-10 20:31:29,623 [INFO]   [32,000/196,764] 16% | 27 entries/s | ETA 6090s
2026-05-10 20:32:08,209 [INFO]   [33,000/196,764] 17% | 27 entries/s | ETA 6061s
2026-05-10 20:32:45,782 [INFO]   [34,000/196,764] 17% | 27 entries/s | ETA 6027s
2026-05-10 20:33:22,795 [INFO]   [35,000/196,764] 18% | 27 entries/s | ETA 5989s
2026-05-10 20:33:57,877 [INFO]   [36,000/196,764] 18% | 27 entries/s | ETA 5944s
2026-05-10 20:34:32,914 [INFO]   [37,000/196,764] 19% | 27 entries/s | ETA 5898s
2026-05-10 20:35:09,103 [INFO]   [38,000/196,764] 19% | 27 entries/s | ETA 5858s
2026-05-10 20:35:46,387 [INFO]   [39,000/196,764] 20% | 27 entries/s | ETA 5823s
2026-05-10 20:36:24,186 [INFO]   [40,000/196,764] 20% | 27 entries/s | ETA 5790s
2026-05-10 20:37:00,555 [INFO]   [41,000/196,764] 21% | 27 entries/s | ETA 5751s
2026-05-10 20:37:37,146 [INFO]   [42,000/196,764] 21% | 27 entries/s | ETA 5712s
2026-05-10 20:38:14,820 [INFO]   [43,000/196,764] 22% | 27 entries/s | ETA 5678s
2026-05-10 20:38:50,028 [INFO]   [44,000/196,764] 22% | 27 entries/s | ETA 5635s
2026-05-10 20:39:26,196 [INFO]   [45,000/196,764] 23% | 27 entries/s | ETA 5596s
2026-05-10 20:40:04,871 [INFO]   [46,000/196,764] 23% | 27 entries/s | ETA 5565s
2026-05-10 20:40:40,190 [INFO]   [47,000/196,764] 24% | 27 entries/s | ETA 5523s
2026-05-10 20:41:16,121 [INFO]   [48,000/196,764] 24% | 27 entries/s | ETA 5483s
2026-05-10 20:41:53,909 [INFO]   [49,000/196,764] 25% | 27 entries/s | ETA 5449s
2026-05-10 20:42:30,334 [INFO]   [50,000/196,764] 25% | 27 entries/s | ETA 5411s
2026-05-10 20:43:07,306 [INFO]   [51,000/196,764] 26% | 27 entries/s | ETA 5374s
2026-05-10 20:43:43,246 [INFO]   [52,000/196,764] 26% | 27 entries/s | ETA 5335s
2026-05-10 20:44:18,989 [INFO]   [53,000/196,764] 27% | 27 entries/s | ETA 5295s
