2026-05-10 23:58:43,124 [INFO] === UmaEdge Model Training ===
2026-05-10 23:58:43,124 [INFO] 🚫 ODDS-FREE MODE — excluding all odds-derived features
2026-05-10 23:58:43,124 [INFO] No cache found. Building features from scratch...
2026-05-10 23:58:43,124 [INFO] Loading race data...
2026-05-10 23:59:46,334 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 23:59:46,353 [INFO] Loading full history for rolling features...
2026-05-11 00:00:22,786 [INFO] Pre-indexing history for fast lookups...
2026-05-11 00:00:23,480 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-11 00:00:23,480 [INFO] Building features for 196764 entries...
2026-05-11 00:01:09,647 [INFO] Pre-building point-in-time speed baseline index...
2026-05-11 00:01:10,008 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-11 00:01:16,859 [INFO]   [1,000/196,764] 1% | 19 entries/s | ETA 10450s
2026-05-11 00:02:00,810 [INFO]   [2,000/196,764] 1% | 21 entries/s | ETA 9478s
2026-05-11 00:02:44,051 [INFO]   [3,000/196,764] 2% | 21 entries/s | ETA 9079s
2026-05-11 00:03:29,714 [INFO]   [4,000/196,764] 2% | 21 entries/s | ETA 8975s
2026-05-11 00:04:14,800 [INFO]   [5,000/196,764] 3% | 22 entries/s | ETA 8872s
2026-05-11 00:04:58,719 [INFO]   [6,000/196,764] 3% | 22 entries/s | ETA 8751s
2026-05-11 00:05:43,392 [INFO]   [7,000/196,764] 4% | 22 entries/s | ETA 8673s
2026-05-11 00:06:27,957 [INFO]   [8,000/196,764] 4% | 22 entries/s | ETA 8600s
2026-05-11 00:07:13,674 [INFO]   [9,000/196,764] 5% | 22 entries/s | ETA 8558s
2026-05-11 00:07:58,708 [INFO]   [10,000/196,764] 5% | 22 entries/s | ETA 8502s
2026-05-11 00:08:45,100 [INFO]   [11,000/196,764] 6% | 22 entries/s | ETA 8471s
2026-05-11 00:09:31,600 [INFO]   [12,000/196,764] 6% | 22 entries/s | ETA 8439s
2026-05-11 00:10:17,972 [INFO]   [13,000/196,764] 7% | 22 entries/s | ETA 8404s
2026-05-11 00:11:04,982 [INFO]   [14,000/196,764] 7% | 22 entries/s | ETA 8375s
2026-05-11 00:11:50,953 [INFO]   [15,000/196,764] 8% | 22 entries/s | ETA 8331s
2026-05-11 00:12:38,727 [INFO]   [16,000/196,764] 8% | 22 entries/s | ETA 8307s
2026-05-11 00:13:24,566 [INFO]   [17,000/196,764] 9% | 22 entries/s | ETA 8259s
2026-05-11 00:14:11,050 [INFO]   [18,000/196,764] 9% | 22 entries/s | ETA 8219s
2026-05-11 00:14:58,178 [INFO]   [19,000/196,764] 10% | 22 entries/s | ETA 8184s
2026-05-11 00:15:45,875 [INFO]   [20,000/196,764] 10% | 22 entries/s | ETA 8152s
